iter	RMSE
0	1918542.934
1	1716557.503
2	1539380.417
3	1385103.265
4	1252046.451
5	1138888.728
6	1039250.889
7	951470.8878
8	878753.8522
9	811899.0441
10	755960.767
11	704606.5393
12	663651.5231
13	628086.666
14	598544.9343
15	569287.5498
16	548599.8316
17	531343.4644
18	514606.1474
19	496541.4598
20	482564.0293
21	472172.7871
22	462596.2739
23	453723.0711
24	445698.8813
25	438992.2949
26	430792.3686
27	425639.6488
28	421869.8558
29	417588.2165
30	413857.1531
31	409661.6977
32	405892.1693
33	402538.0943
34	399392.4273
35	396359.8754
36	393882.2028
37	390534.8527
38	388340.5031
39	386659.4878
40	384734.8434
41	382714.7178
42	381031.9331
43	379114.0094
44	377470.1793
45	375611.3569
46	374387.7086
47	372149.3608
48	370010.8848
49	369014.4917
50	367772.5972
51	366629.6221
52	365369.2166
53	363627.0241
54	362393.4058
55	360448.099
56	359536.4009
57	357736.9567
58	356803.4497
59	354538.5702
60	353397.4895
61	352364.2068
62	351658.2322
63	350810.8313
64	349957.2374
65	348957.6944
66	347926.1417
67	347048.4586
68	346392.9772
69	345524.6172
70	343483.4584
71	341861.5949
72	341230.7671
73	340289.4578
74	339874.8816
75	339342.4284
76	337977.7948
77	337274.4904
78	336256.9131
79	335645.6548
80	334775.0199
81	334374.2215
82	333552.5211
83	333082.1309
84	332448.7195
85	331425.8852
86	330738.5413
87	329906.956
88	328910.045
89	328377.1907
90	327796.9915
91	327081.9038
92	326422.4309
93	325626.6824
94	325154.7578
95	324325.5116
96	323583.0392
97	322949.3165
98	322271.793
99	321518.7142
100	320492.0669
101	319464.5721
102	319246.1307
103	318490.4002
104	317972.5519
105	317788.5173
106	317262.1611
107	316531.0632
108	315866.942
109	315435.0337
110	314727.0432
111	314485.3716
112	313936.3303
113	313273.2455
114	312710.3209
115	312393.7825
116	312015.3039
117	311599.1298
118	311210.2307
119	310816.1203
120	310166.6502
121	309722.4244
122	309262.5719
123	308673.2535
124	308234.0337
125	307792.1446
126	307515.8249
127	307078.5877
128	306336.1421
129	305955.5914
130	305600.151
131	305089.4893
132	304689.0701
133	304358.1693
134	303933.9665
135	303742.2593
136	303552.8946
137	303211.4108
138	302705.336
139	302414.5772
140	302242.1682
141	301930.1227
142	301496.9371
143	301079.8625
144	300698.4941
145	300373.7171
146	300134.7487
147	299526.1361
148	299297.4531
149	299093.3999
150	298726.4454
151	298079.8122
152	297913.2906
153	297478.3798
154	297077.5036
155	296658.877
156	296461.803
157	296092.4595
158	295766.567
159	295489.7945
160	295291.9243
161	294671.3021
162	294305.8962
163	293944.3511
164	293592.292
165	293323.9066
166	293076.4474
167	292745.0237
168	292266.6236
169	291996.3425
170	291957.0079
171	291607.9142
172	291410.16
173	291358.566
174	291053.3581
175	290717.5735
176	290523.5772
177	290419.0107
178	290263.6994
179	290037.0796
180	290035.7231
181	289876.7872
182	289875.5762
183	289407.4903
184	288981.586
185	288432.4398
186	287899.8794
187	287512.6123
188	287246.2579
189	286975.1769
190	286730.3296
191	286176.5242
192	285966.5022
193	285580.3884
194	285349.1202
195	285052.9011
196	284758.3573
197	284458.4819
198	284133.4757
199	283863.9775
200	283635.7382
201	283290.9095
202	283252.8137
203	282890.7953
204	282634.8898
205	282530.7459
206	282340.1129
207	282208.4202
208	281914.1206
209	281471.1949
210	281254.7332
211	280970.6147
212	280664.7592
213	280228.5757
214	279978.8197
215	279717.4815
216	279550.9588
217	279195.6936
218	278747.0528
219	278644.6038
220	278339.0533
221	278121.1693
222	277847.6925
223	277771.7662
224	277550.1023
225	277482.2335
226	277333.6666
227	277005.6755
228	276927.5015
229	276720.8467
230	276415.7079
231	276059.8734
232	275839.9267
233	275552.2363
234	275280.337
235	275053.7909
236	274815.8
237	274663.0904
238	274642.2973
239	274359.7648
240	274199.8065
241	273853.4047
242	273636.8141
243	273477.3494
244	273197.3818
245	272916.878
246	272636.8941
247	272346.0088
248	272232.4949
249	272003.5479
250	271877.0829
251	271520.36
252	271316.0625
253	271171.6604
254	270917.1018
255	270649.8945
256	270487.861
257	270250.5323
258	269974.55
259	269854.3136
260	269748.2198
261	269655.9222
262	269598.4266
263	269433.2276
264	269366.1049
265	269307.9981
266	269147.0089
267	269078.2005
268	269018.4394
269	268962.8189
270	268835.221
271	268693.2195
272	268529.9033
273	268366.4829
274	268180.157
275	267903.1482
276	267628.8986
277	267477.259
278	267363.8201
279	267308.3375
280	267134.2087
281	267016.2511
282	266639.6958
283	266449.8322
284	266338.5669
285	266064.6178
286	266015.267
287	265852.1141
288	265670.9569
289	265467.3205
290	265183.4259
291	265035.3243
292	264997.2495
293	264754.8762
294	264625.3027
295	264403.8692
296	264365.3329
297	264160.1995
298	263980.2987
299	263632.6683
300	263488.2445
301	263281.4545
302	262943.2916
303	262630.674
304	262474.8689
305	262255.3256
306	262095.1395
307	261926.5197
308	261720.791
309	261554.0545
310	261348.5432
311	261207.595
312	260965.1653
313	260819.1935
314	260653.9661
315	260351.9822
316	260169.4484
317	259989.3829
318	259943.2221
319	259818.2135
320	259705.2704
321	259524.9257
322	259338.464
323	259174.3521
324	259016.5364
325	258867.5002
326	258814.8224
327	258645.8867
328	258359.4674
329	258176.5393
330	257992.0985
331	257829.4792
332	257609.9765
333	257467.7843
334	257419.7839
335	257346.4304
336	257143.6575
337	256972.2372
338	256882.7519
339	256730.6397
340	256595.3988
341	256452.2977
342	256093.1284
343	255905.4612
344	255599.4341
345	255425.8542
346	255163.8199
347	254935.6821
348	254667.5547
349	254541.0236
350	254312.9252
351	254200.8761
352	254035.7204
353	253858.3415
354	253708.012
355	253561.3632
356	253454.8453
357	253284.5991
358	253131.3302
359	252970.7066
360	252690.9663
361	252510.7037
362	252398.171
363	252189.5842
364	252063.4882
365	251909.4317
366	251800.2027
367	251676.4919
368	251467.4498
369	251390.1265
370	251244.8898
371	251063.5141
372	250864.2467
373	250680.1311
374	250543.3833
375	250371.904
376	250129.3682
377	249942.3852
378	249814.4304
379	249705.2799
380	249620.2187
381	249488.6165
382	249323.187
383	249214.4312
384	249133.8141
385	248918.3045
386	248592.449
387	248480.3939
388	248309.2664
389	248199.8675
390	248096.1399
391	247922.4972
392	247792.9753
393	247641.9241
394	247375.792
395	247215.2396
396	247143.7993
397	246968.7369
398	246893.4077
399	246766.9003
400	246594.7649
401	246430.1208
402	246295.6593
403	246129.6633
404	245978.3908
405	245841.5107
406	245717.0433
407	245613.9138
408	245461.3672
409	245361.3019
410	245246.7919
411	245055.7776
412	244952.6535
413	244811.8565
414	244664.4589
415	244541.139
416	244369.097
417	244141.8896
418	244048.161
419	243836.2616
420	243671.9462
421	243574.9522
422	243435.6534
423	243290.5515
424	243152.4939
425	243007.7333
426	242903.0417
427	242822.5537
428	242677.4104
429	242531.5468
430	242437.3314
431	242346.5669
432	242087.4623
433	241972.8729
434	241856.5651
435	241710.8841
436	241643.3548
437	241425.1987
438	241281.9752
439	241115.9518
440	240982.9903
441	240886.2645
442	240809.3535
443	240751.5907
444	240659.2424
445	240524.2179
446	240400.5877
447	240279.0716
448	240183.3081
449	240085.5238
450	240004.5308
451	239871.0256
452	239733.2201
453	239630.4925
454	239536.1526
455	239438.0874
456	239280.995
457	239093.3078
458	238971.709
459	238730.2704
460	238608.5153
461	238579.9305
462	238454.933
463	238327.3163
464	238190.367
465	238120.0842
466	238002.0603
467	237901.5429
468	237831.8306
469	237773.4511
470	237625.8188
471	237603.8368
472	237486.3092
473	237396.0285
474	237380.2575
475	237189.0842
476	237087.1965
477	236956.2623
478	236915.9778
479	236747.8232
480	236626.4954
481	236509.5053
482	236422.9101
483	236315.3026
484	236206.3724
485	236028.4901
486	235846.7326
487	235714.9269
488	235513.8939
489	235415.5602
490	235257.3933
491	235117.9708
492	234974.4978
493	234872.5042
494	234774.6213
495	234665.5237
496	234619.5831
497	234482.8407
498	234399.0443
499	234228.2802
500	234140.6225
501	233938.326
502	233893.232
503	233771.8902
504	233695.7536
505	233577.8739
506	233511.2577
507	233354.3633
508	233289.6775
509	233234.7579
510	233145.498
511	233042.5815
512	232981.0433
513	232910.4784
514	232746.7305
515	232653.8968
516	232563.8063
517	232450.8851
518	232307.4697
519	232269.6616
520	232212.6622
521	232122.6083
522	232001.8142
523	231813.8247
524	231778.8968
525	231691.3672
526	231584.6146
527	231401.9778
528	231361.2438
529	231315.5478
530	231210.1106
531	231106.6077
532	231097.534
533	230994.445
534	230900.5948
535	230803.3964
536	230747.3982
537	230605.0183
538	230489.8912
539	230385.8851
540	230241.1044
541	230213.5454
542	230149.8794
543	230013.939
544	229923.8581
545	229858.2013
546	229807.9985
547	229740.9099
548	229648.3264
549	229619.5219
550	229427.796
551	229325.9467
552	229196.9277
553	229020.1927
554	228919.0594
555	228836.7187
556	228640.2244
557	228587.3928
558	228486.0826
559	228372.5852
560	228229.9404
561	228064.4181
562	227970.7349
563	227761.1772
564	227659.0248
565	227580.3115
566	227505.1368
567	227443.1273
568	227373.9319
569	227350.577
570	227247.7
571	227133.2287
572	227057.6637
573	226927.2023
574	226868.0218
575	226776.1221
576	226674.6433
577	226557.3051
578	226525.9399
579	226451.8083
580	226323.6779
581	226231.9263
582	226181.5618
583	226079.0622
584	225995.5786
585	225903.9042
586	225855.1933
587	225780.8541
588	225698.1062
589	225598.6675
590	225474.0859
591	225393.8046
592	225260.32
593	225195.867
594	225179.729
595	225125.321
