iter	Passed	Remaining
0	71	71164
1	89	44853
2	106	35291
3	117	29149
4	127	25426
5	135	22521
6	143	20369
7	150	18611
8	156	17244
9	163	16178
10	170	15354
11	179	14769
12	188	14332
13	197	13886
14	206	13557
15	216	13286
16	223	12909
17	229	12503
18	234	12086
19	239	11731
20	244	11385
21	249	11070
22	254	10794
23	259	10553
24	264	10331
25	270	10121
26	275	9913
27	280	9740
28	285	9555
29	290	9396
30	296	9254
31	301	9116
32	306	8991
33	311	8853
34	316	8739
35	322	8623
36	326	8504
37	332	8407
38	337	8318
39	342	8228
40	348	8146
41	353	8054
42	358	7975
43	363	7904
44	369	7843
45	374	7773
46	379	7704
47	384	7634
48	389	7568
49	395	7510
50	400	7449
51	405	7387
52	410	7330
53	415	7281
54	420	7222
55	426	7186
56	432	7147
57	437	7099
58	442	7054
59	447	7013
60	453	6977
61	459	6944
62	465	6918
63	470	6879
64	476	6850
65	481	6814
66	486	6770
67	490	6727
68	495	6692
69	500	6653
70	506	6630
71	512	6610
72	518	6583
73	523	6555
74	528	6521
75	533	6488
76	538	6451
77	543	6420
78	548	6391
79	553	6367
80	559	6345
81	564	6321
82	570	6303
83	577	6299
84	584	6293
85	591	6285
86	596	6262
87	602	6242
88	608	6228
89	614	6213
90	620	6201
91	627	6194
92	634	6187
93	641	6180
94	647	6172
95	654	6166
96	661	6158
97	670	6174
98	679	6182
99	687	6183
100	692	6161
101	696	6136
102	701	6113
103	706	6085
104	710	6060
105	715	6036
106	721	6019
107	726	6003
108	733	5996
109	740	5992
110	747	5989
111	753	5976
112	759	5963
113	766	5953
114	771	5935
115	777	5923
116	782	5909
117	788	5895
118	794	5883
119	800	5872
120	806	5860
121	812	5850
122	820	5847
123	827	5842
124	833	5836
125	840	5830
126	847	5827
127	853	5817
128	859	5802
129	866	5796
130	872	5789
131	879	5780
132	884	5766
133	890	5757
134	896	5746
135	902	5734
136	908	5725
137	916	5723
138	922	5715
139	928	5702
140	934	5693
141	941	5687
142	948	5681
143	955	5682
144	963	5682
145	971	5680
146	978	5675
147	985	5675
148	993	5676
149	1001	5672
150	1008	5671
151	1015	5665
152	1022	5660
153	1030	5658
154	1038	5662
155	1046	5661
156	1053	5657
157	1059	5644
158	1064	5630
159	1069	5615
160	1074	5600
161	1079	5584
162	1084	5568
163	1089	5555
164	1095	5543
165	1100	5527
166	1104	5510
167	1109	5493
168	1114	5478
169	1118	5462
170	1120	5431
171	1125	5418
172	1130	5404
173	1132	5373
174	1137	5361
175	1142	5350
176	1147	5337
177	1149	5309
178	1154	5296
179	1159	5283
180	1160	5253
181	1165	5238
182	1166	5208
183	1171	5195
184	1176	5181
185	1180	5166
186	1186	5156
187	1191	5144
188	1195	5131
189	1200	5119
190	1206	5109
191	1211	5098
192	1217	5090
193	1223	5082
194	1230	5078
195	1238	5079
196	1246	5081
197	1253	5078
